-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
133,air temperature,2597,Hydrology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2597,2597
134,air temperature,2598,Hydrology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2598,2598
135,air temperature,2821,Climatology / Meteorology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2821,2821
136,air temperature,2864,Hydrology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2864,2864
137,air temperature,3654,Climatology / Meteorology|Biology / Ecology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3654,3654
138,air temperature,3656,Climatology / Meteorology|Biology / Ecology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3656,3656
139,air temperature,3657,Biology / Ecology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3657,3657
140,air temperature,3663,Biology / Ecology|Climatology / Meteorology,Sierra,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3663,3663
141,air temperature,4703,Climatology / Meteorology,Reynolds,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4703,4703
142,air temperature,5203,Biology / Ecology|Climatology / Meteorology|Hydrology|Soil Science / Pedology,Reynolds,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5203,5203
143,air temperature,5292,Climatology / Meteorology,Reynolds,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5292,5292
144,air temperature,5821,Climatology / Meteorology,Calhoun,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5821,5821
